ticker,quelle,jahre,roic,umsatz_cagr,eps_cagr,ek_cagr,fcf_cagr
3690.HK,Yahoo,4.0,2.5,18.4,,5.5,
MRVL,SEC,5.0,-0.1,16.4,,-2.3,21.1
WGX.AX,Yahoo,3.0,-0.9,5.2,,8.5,
CEG,SEC,4.0,8.6,4.3,,9.6,
IGG.L,Yahoo,4.0,15.6,-1.1,-3.6,-3.1,-11.2
SNDK,Yahoo,4.0,16.5,49.3,,19.2,
NCLH,SEC,11.0,-150.9,20.1,18.4,-1.6,
PAAS.TO,Yahoo,4.0,2.5,34.3,,47.2,
INFY.NS,Yahoo,4.0,29.7,3.4,4.1,2.2,13.8
RBA.TO,Yahoo,4.0,9.1,38.3,-10.7,67.4,15.5
RMS.PA,Yahoo,4.0,28.1,11.3,10.3,14.8,4.7
NXPI,SEC,7.0,9.9,5.5,45.2,1.1,4.6
2020.HK,Yahoo,4.0,22.3,14.3,20.3,24.1,20.6
FSLR,SEC,11.0,4.2,12.8,10.2,5.6,
PAH3.DE,Yahoo,4.0,-4.0,-20.4,-21.6,-10.2,-4.0
6506.T,Yahoo,4.0,11.5,-0.8,-11.8,11.6,
CHRW,SEC,11.0,13.7,21.6,18.6,4.8,2.6
ERIE,SEC,11.0,22.4,32.2,,11.5,-0.5
OR.TO,Yahoo,4.0,4.9,20.0,,3.7,
A2M.AX,Yahoo,4.0,15.8,7.4,-9.7,-2.2,-16.1
7201.T,Yahoo,4.0,0.8,4.3,,-2.2,
5332.T,Yahoo,4.0,7.5,1.7,1.9,5.2,
CNA.L,Yahoo,4.0,24.7,-6.4,,44.8,-46.9
SUZB3.SA,Yahoo,4.0,11.8,0.2,-14.9,9.8,-6.4
RMD.AX,Yahoo,4.0,17.8,12.9,19.6,21.1,103.8
CLS.TO,Yahoo,4.0,16.0,19.6,82.4,9.7,65.0
MC.PA,Yahoo,4.0,20.5,0.7,-8.0,7.0,3.7
RMS.AX,Yahoo,3.0,8.5,20.9,,35.8,394.7
NST.AX,Yahoo,4.0,8.9,22.7,32.0,22.7,17.5
IBM,SEC,11.0,,-1.9,-1.8,8.6,-4.7
RI.PA,Yahoo,4.0,8.5,0.8,-5.7,-1.6,-14.4
DSG.TO,Yahoo,4.0,9.7,14.5,16.6,13.8,11.8
TMUS,SEC,11.0,4.8,33.9,39.8,13.6,38.6
ADBE,SEC,11.0,22.4,33.7,43.9,5.2,22.6
6479.T,Yahoo,4.0,8.2,8.8,14.0,12.6,
SII.TO,Yahoo,4.0,13.5,20.3,57.3,9.8,43.6
IDXX,SEC,11.0,37.6,34.2,39.2,,16.5
MSB.AX,Yahoo,4.0,-7.3,152.1,,4.2,
5803.T,Yahoo,4.0,16.5,13.6,56.6,27.5,30.0
PLS.AX,Yahoo,4.0,22.6,-29.1,-41.1,6.4,-30.7
ULTA,SEC,11.0,30.1,28.7,31.3,6.9,17.1
AAUC.TO,Yahoo,4.0,18.4,25.8,,108.0,137.3
4755.T,Yahoo,4.0,-0.8,9.1,,7.8,
BEI.DE,Yahoo,4.0,11.1,3.8,13.0,3.4,8.9
VOW3.DE,Yahoo,4.0,5.3,4.9,-23.5,4.4,
TA.TO,Yahoo,4.0,9.3,-6.9,,8.0,
EL,SEC,11.0,11.4,22.7,7.2,7.4,2.5
MRO.L,Yahoo,4.0,2.2,6.7,,-26.5,-2.4
HII,SEC,11.0,7.2,28.2,30.7,13.0,2.2
VIVT3.SA,Yahoo,4.0,6.8,7.4,16.1,0.2,7.6
DSY.PA,Yahoo,4.0,10.4,3.2,8.7,6.3,1.8
EXPN.L,Yahoo,4.0,14.7,8.5,0.0,12.2,11.6
LDOS,SEC,11.0,17.2,7.7,41.3,17.3,12.9
REN.AS,Yahoo,4.0,23.5,3.9,9.8,-14.4,5.6
INTC,SEC,11.0,8.2,-4.1,,6.5,
MDA.TO,Yahoo,4.0,5.8,36.6,58.7,10.6,
BESI.AS,Yahoo,4.0,18.8,-6.5,-17.0,-12.8,-17.6
YAR.OL,Yahoo,4.0,10.9,-13.2,-21.0,0.5,-13.3
6723.T,Yahoo,4.0,9.9,-4.2,,16.8,-6.6
8031.T,Yahoo,4.0,9.1,-0.7,-6.9,11.3,
7735.T,Yahoo,4.0,20.5,9.5,18.0,17.5,5.2
HDFCBANK.NS,Yahoo,4.0,,16.9,-19.8,41.0,35.0
0175.HK,Yahoo,4.0,10.0,32.6,48.3,7.1,72.9
K.TO,Yahoo,4.0,12.3,26.8,,13.8,107.8
0101.HK,Yahoo,4.0,2.4,-1.3,-24.2,0.3,57.4
7270.T,Yahoo,4.0,9.7,8.2,-21.7,9.8,-46.0
VGN.AX,Yahoo,3.0,,,98.8,,
BRO,SEC,11.0,,30.7,94.4,10.8,16.7
LEG.DE,Yahoo,4.0,0.3,6.2,126.7,-1.4,12.5
SPK.AX,Yahoo,4.0,20.3,-2.1,-24.2,-5.3,28.0
5201.T,Yahoo,4.0,3.1,0.4,,2.2,
