ticker,name,land
AIR.DE,Airbus,Deutschland
AIR.PA,Airbus,Frankreich
AIXA.DE,Aixtron,Deutschland
AKRBP.OL,Aker BP,Norwegen
AKZA.AS,AkzoNobel,Niederlande
ALA.TO,AltaGas Ltd.,Kanada
ALC.SW,Alcon Inc,Schweiz
ALD.AX,Ampol,Australien
ALK.AX,Alkane Resources,Australien
ALL.AX,Aristocrat Leisure,Australien
ALPA4.SA,Alpargatas,Brasilien
ALQ.AX,ALS,Australien
ALV-DE,Allianz,Europa
ALV.DE,Allianz,Deutschland
ALW.L,Alliance Witan,Grossbritannien
ALX.AX,Atlas Arteria,Australien
AMC.AX,Amcor,Australien
AMER3.SA,Americanas,Brasilien
AMP.AX,AMP,Australien
AMRZ.SW,Amrize AG,Schweiz
AMS.MC,Amadeus IT Group,Spanien
ANA.MC,Acciona,Spanien
ANE.MC,Acciona Energía,Spanien
ANN.AX,Ansell,Australien
ANTO.L,Antofagasta plc,Grossbritannien
ANZ.AX,Australia & New Zealand Banking Group,Australien
AP.TO,Allied Properties Real Estate Investment Trust,Kanada
APA.AX,APA Group,Australien
APE.AX,Eagers Automotive,Australien
APOLLOHOSP.NS,Apollo Hospitals,Indien
AQN.TO,Algonquin Power & Utilities Corp.,Kanada
ARB.AX,ARB Corporation,Australien
ARE.TO,Aecon Group Inc.,Kanada
ARG.AX,Argo Investments,Australien
ARGX-BR,Argenx,Europa
ARIS.TO,Aris Mining Corporation,Kanada
ARX.TO,ARC Resources Ltd.,Kanada
ASAI3.SA,Sendas Distribuidora,Brasilien
ASB.AX,Austal,Australien
ASIANPAINT.NS,Asian Paints,Indien
ASK.AX,Abacus Storage King,Australien
ASM.AS,ASM International,Niederlande
ASM.TO,Avino Silver & Gold Mines Ltd.,Kanada
ASML-AS,ASML Holding,Europa
ASML.AS,ASML Holding,Niederlande
ASRNL.AS,ASR Nederland,Niederlande
ASX.AX,ASX,Australien
AT1.DE,Aroundtown,Deutschland
ATD.TO,Alimentation Couche-Tard Inc.,Kanada
ATH.TO,Athabasca Oil Corporation,Kanada
ATRL.TO,AtkinsRéalis Group Inc.,Kanada
ATS.TO,ATS Corporation,Kanada
ATZ.TO,Aritzia Inc.,Kanada
AUB.AX,AUB Group,Australien
AUTO.L,Autotrader Group,Grossbritannien
AV.L,Aviva,Grossbritannien
AXIA3.SA,Eletrobras,Brasilien
AXIA7.SA,Eletrobras,Brasilien
AXISBANK.NS,Axis Bank,Indien
AYA.TO,Aya Gold & Silver Inc.,Kanada
AZJ.AX,Aurizon,Australien
AZN.L,AstraZeneca,Grossbritannien
AZUL4.SA,Azul,Brasilien
B3SA3.SA,B3,Brasilien
BA.L,BAE Systems,Grossbritannien
BAB.L,Babcock International,Grossbritannien
BAJAJ-AUTO.NS,Bajaj Auto,Indien
BAJAJFINSV.NS,Bajaj Finserv,Indien
BAJFINANCE.NS,Bajaj Finance,Indien
BAM.TO,Brookfield Asset Management Ltd.,Kanada
BARC.L,Barclays,Grossbritannien
BAS-DE,BASF,Europa
BAS.DE,BASF,Deutschland
BATS.L,British American Tobacco,Grossbritannien
BAYN-DE,Bayer,Europa
BAYN.DE,Bayer,Deutschland
BB.TO,BlackBerry Limited,Kanada
BBAS3.SA,Banco do Brasil,Brasilien
BBD.TO,Bombardier Inc.,Kanada
BBDC3.SA,Bradesco,Brasilien
BBDC4.SA,Bradesco,Brasilien
BBOX.L,Tritax Big Box REIT,Grossbritannien
BBSE3.SA,BB Seguridade,Brasilien
BBUC.TO,Brookfield Business Corporation,Kanada
BBVA-MC,BBVA,Europa
BBVA.MC,BBVA,Spanien
BC8.DE,Bechtle,Deutschland
BCE.TO,BCE Inc.,Kanada
BDGI.TO,Badger Infrastructure Solutions Ltd.,Kanada
BDT.TO,Bird Construction Inc.,Kanada
BEEF3.SA,Minerva Foods,Brasilien
BEI.DE,Beiersdorf,Deutschland
BEI.TO,Boardwalk Real Estate Investment Trust,Kanada
BEL.NS,Bharat Electronics,Indien
BEN.AX,Bendigo & Adelaide Bank,Australien
BEP.TO,Brookfield Renewable Partners L.P.,Kanada
BESI.AS,BE Semiconductors,Niederlande
BEZ.L,Beazley,Grossbritannien
BFL.AX,BSP Financial Group,Australien
BFSA.DE,Befesa,Deutschland
BGA.AX,Bega Cheese,Australien
BGEO.L,Lion Finance Group,Grossbritannien
BGL.AX,Bellevue Gold,Australien
BHARTIARTL.NS,Bharti Airtel,Indien
BHC.TO,Bausch Health Companies Inc.,Kanada
BHP.AX,BHP,Australien
BIDI11.SA,Banco Inter,Brasilien
BIP.TO,Brookfield Infrastructure Partners L.P.,Kanada
BIR.TO,Birchcliff Energy Ltd.,Kanada
BKT.MC,Bankinter,Spanien
BLND.L,British Land,Grossbritannien
BLX.TO,Boralex Inc.,Kanada
BMO.TO,Bank of Montreal,Kanada
BMW-DE,BMW,Europa
BMW.DE,BMW,Deutschland
BN-PA,Danone,Europa
BN.PA,Danone,Frankreich
BN.TO,Brookfield Corporation,Kanada
BNP-PA,BNP Paribas,Europa
BNP.PA,BNP Paribas,Frankreich
BNR.DE,Brenntag,Deutschland
BNS.TO,Bank of Nova Scotia,Kanada
BNZL.L,Bunzl,Grossbritannien
BOQ.AX,Bank of Queensland,Australien
